"Description","added_date","agency_logo","agency_name","amenities","area","area_unit","bathrooms","bedrooms","city","contact_name","currency","external_id","latitude","location","longitude","phone_number","photos/0","photos/1","photos/2","photos/3","photos/4","photos/5","photos/6","photos/7","photos/8","photos/9","photos/10","photos/11","photos/12","photos/13","photos/14","photos/15","photos/16","photos/17","photos/18","photos/19","photos/20","photos/21","photos/22","photos/23","photos/24","photos/25","photos/26","photos/27","photos/28","photos/29","photos/30","photos/31","photos/32","photos/33","photos/34","photos/35","photos/36","photos/37","photos/38","photos/39","photos/40","photos/41","photos/42","photos/43","photos/44","photos/45","photos/46","photos/47","photos/48","photos/49","price","property_type","purpose","source","title","url"
"Faisal Hills ke sab se tezi se abaad hone wale C-Block mein apna ghar banane ka sunhairi moqa! Agar aap investment ya rehaish ke liye behtareen location talaash kar rahe hain, toh yeh plot aap ke liye perfect hai. Plot Ki Tafseelat: Block: C-Block (Faisal Hills) Size: 25x50 (5 Marla) Status: Possession Ready | Level Plot aur Fori Tameer ke liye tayyar. Location: Parks aur Commercial area ke qareeb. C-Block Kyun Chunain? Fast Development: Poori society mein sab se tezi se abaad hone wala block. Modern Amenities: Underground electricity, wide roads aur 24/7 security. Accessibility: GT Road aur Motorway se nihayat asaan rasayi. Environment: Margalla Hills ka pur-sakoon aur saaf suthra mahool. Real estate ke ""Chess Master"" hamesha sahi waqt par sahi move karte hain. Is deal ko haath se na janay dain! Mazeed Maloomat aur Visit ke liye Abhi Rabta Karein: Ali Raza Shah SUFFA FRIENDS REAL ESTATE & MARKETING [redacted phone number] Office: SUFFA FRIENDS, Faisal Hills","2026-03-16T05:58:56.000Z","https://media.zameen.com/thumbnails/24866663-120x90.webp","Suffa Friends Estate & Marketing","Possesion: true | Disputed: true | File: true | Balloted: true | Sewerage: true | Electricity: true | Water Supply: true | Sui Gas: true | Boundary Wall: true","5","marla","0","0","Islamabad","Ali Raza Shah","PKR","53940222","33.70674597","Faisal Hills, Faisal Hills - Block C","72.75964149","+92514500376","https://media.zameen.com/thumbnails/295361004-800x600.webp","https://media.zameen.com/thumbnails/295361005-800x600.webp","https://media.zameen.com/thumbnails/295361006-800x600.webp","https://media.zameen.com/thumbnails/295361007-800x600.webp","https://media.zameen.com/thumbnails/295361008-800x600.webp","https://media.zameen.com/thumbnails/295361009-800x600.webp","https://media.zameen.com/thumbnails/295361010-800x600.webp","https://media.zameen.com/thumbnails/295361011-800x600.webp","https://media.zameen.com/thumbnails/295361012-800x600.webp","https://media.zameen.com/thumbnails/295361013-800x600.webp","https://media.zameen.com/thumbnails/295361014-800x600.webp","https://media.zameen.com/thumbnails/295361015-800x600.webp","https://media.zameen.com/thumbnails/295361016-800x600.webp","https://media.zameen.com/thumbnails/295361017-800x600.webp","https://media.zameen.com/thumbnails/295361018-800x600.webp","https://media.zameen.com/thumbnails/295361019-800x600.webp","https://media.zameen.com/thumbnails/295361020-800x600.webp","https://media.zameen.com/thumbnails/295361021-800x600.webp","https://media.zameen.com/thumbnails/295361022-800x600.webp","https://media.zameen.com/thumbnails/295361023-800x600.webp","https://media.zameen.com/thumbnails/295361024-800x600.webp","https://media.zameen.com/thumbnails/295361025-800x600.webp","https://media.zameen.com/thumbnails/295361026-800x600.webp","https://media.zameen.com/thumbnails/295361027-800x600.webp","https://media.zameen.com/thumbnails/295361028-800x600.webp","https://media.zameen.com/thumbnails/295361029-800x600.webp","https://media.zameen.com/thumbnails/295361030-800x600.webp","https://media.zameen.com/thumbnails/295361031-800x600.webp","https://media.zameen.com/thumbnails/295361032-800x600.webp","https://media.zameen.com/thumbnails/295361033-800x600.webp","https://media.zameen.com/thumbnails/295361034-800x600.webp","https://media.zameen.com/thumbnails/295361035-800x600.webp","https://media.zameen.com/thumbnails/295361036-800x600.webp","https://media.zameen.com/thumbnails/295361037-800x600.webp","https://media.zameen.com/thumbnails/295361038-800x600.webp","https://media.zameen.com/thumbnails/295361039-800x600.webp","https://media.zameen.com/thumbnails/295361040-800x600.webp","https://media.zameen.com/thumbnails/295361041-800x600.webp","https://media.zameen.com/thumbnails/295361042-800x600.webp","https://media.zameen.com/thumbnails/295361043-800x600.webp","https://media.zameen.com/thumbnails/295361044-800x600.webp","https://media.zameen.com/thumbnails/295361045-800x600.webp","https://media.zameen.com/thumbnails/295361046-800x600.webp","https://media.zameen.com/thumbnails/295361047-800x600.webp","https://media.zameen.com/thumbnails/295361048-800x600.webp","https://media.zameen.com/thumbnails/295361049-800x600.webp","https://media.zameen.com/thumbnails/295361050-800x600.webp","https://media.zameen.com/thumbnails/295361051-800x600.webp","https://media.zameen.com/thumbnails/295361052-800x600.webp","https://media.zameen.com/thumbnails/295361053-800x600.webp","3800000","residential plot","sale","zameen.com","FAISAL HILLS C-BLOCK 5 MARLA (25x50) HOT DEAL FOR SALE!","https://www.zameen.com/Property/faisal_hills_faisal_hills_-_block_c_faisal_hills_c-block_5_marla_25x50_hot_deal_for_sale-53940222-12657-2.html"
"I-9 INDUSTRAIL POLT(11) KANAL WEST SIRVICE R0AD (100+500) FRONT OPEN EXCELLANT LOCATION ALL FACILTIES AVAILABLE,,,DEMAND ,,,1300000000 ARAB MORE DETAIL CONTECT US,,,,,,,","2026-03-16T05:55:40.000Z","https://media.zameen.com/thumbnails/20471454-120x90.webp","Awais Builders and Property Advisor",,"50000","sqft","0","0","Islamabad","M. Tariq Khan","PKR","51954012","33.658781","I-9","73.05459","+92512229250","https://media.zameen.com/thumbnails/272755994-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1300000000","industrial land","sale","zameen.com","I-9 INDUSTRAIL POLT (100+500) WEST SIRVICE ROAD FRONT OPEN FOR SALE","https://www.zameen.com/Property/islamabad_i-9_i-9_industrail_polt_100_500_west_sirvice_road_front_open_for_sale-51954012-175-2.html"
"F/10 MARKAZ HIGH RISE (23) KANAL 3SIDE CORNER FRONT BACK OPEN PLOT FOR SALE. DOUBLE BASMENT +GROUND +34 FLOORS CDA TRANSFER ALL FACILITIES AVAILABLE DEMAND: 15 ARAB MORE DETAILS CONTACT US.","2026-03-16T05:52:25.000Z","https://media.zameen.com/thumbnails/20471454-120x90.webp","Awais Builders and Property Advisor","Possesion: Yes | Corner: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Boundary Wall: Yes","23","kanal","0","0","Islamabad","M. Tariq Khan","PKR","52384078","33.695423","F-10, F-10 Markaz","73.012562","+92512229250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15000000000","commercial plot","sale","zameen.com","F/10 MARKAZ HIGH RISE 3SIDE CORNER 23 KANAL FRONT BACK OPEN PLOT FOR SALE","https://www.zameen.com/Property/f_10_f-10_markaz_f_10_markaz_high_rise_3side_corner_23_kanal_front_back_open_plot_for_sale-52384078-3280-2.html"
"Fazaia Housing Scheme Tarnol Islamabad Block F Road 6 Pair Plot If you are interested in buying a Residential Pair plot in Islamabad that fits your budget? We might have what you are looking for! Buying a property from our offerings will give you just what you need. The perfect Residential Pair plot is available for sale now in Fazaia Housing Scheme Tarnol Islamabad. Block F with all the facilities you are looking for in a property,a price of PKR RS . 3,50,00,000 is a great deal. This property in Fazaia Housing Scheme Tarnol Islamabad Block F can be a good selection to cater to your needs. The futuristic Residential Pair plot in Islamabad for sale. If you seek further information,don't hesitate to contact me.","2026-03-16T05:32:34.000Z",,"SAS Real Estate","Possesion: Yes | Park Facing: Yes | File: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Other Plot Features: Yes | Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: Yes | Distance From Airport (kms): Yes | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Security Staff: Yes | Other Facilities: Yes","10800","sqft","0","0","Islamabad","Muhammad hamza","PKR","53894406","33.60185462","Tarnol, Fazaia Housing Scheme, Fazaia Housing Scheme Block F","72.83771373","+923114806400","https://media.zameen.com/thumbnails/294939709-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32000000","residential plot","sale","zameen.com","FAZAIA HOUSING SCHEME TARNOL ISLAMABAD PAIR PLOT AVAILABLE","https://www.zameen.com/Property/fazaia_housing_scheme_fazaia_housing_scheme_block_f_fazaia_housing_scheme_tarnol_islamabad_pair_plot_available-53894406-14689-2.html"
"10 Marla Level + Sun Face + Front Open. Residential Plot Available For Sale. In Fazaia Housing Scheme Block F Islamabad. In Block E. Sun Face Plot. Level Plot. Front Open Plot. Plot Size 36*75. Possession Plot. Ready for Construction. Solid Land. Level Plot. Ideal Location. Electricity , Water and Gas Available. Interested People Can Contact Easily.","2026-03-16T05:29:51.000Z","https://media.zameen.com/thumbnails/138592579-120x90.webp","Fakhar Associates","Possesion: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Other Plot Features: Block E | Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: Yes | Distance From Airport (kms): Yes | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Security Staff: Yes | Other Facilities: Yes","10","marla","0","0","Islamabad","Fakhar Abbas Khan","PKR","53802279","33.59840846","Tarnol, Fazaia Housing Scheme, Fazaia Housing Scheme Block E","72.84024342","+923330337869","https://media.zameen.com/thumbnails/294104756-800x600.webp","https://media.zameen.com/thumbnails/294104757-800x600.webp","https://media.zameen.com/thumbnails/294104758-800x600.webp","https://media.zameen.com/thumbnails/294104759-800x600.webp","https://media.zameen.com/thumbnails/294104760-800x600.webp","https://media.zameen.com/thumbnails/294104761-800x600.webp","https://media.zameen.com/thumbnails/294104762-800x600.webp","https://media.zameen.com/thumbnails/294104763-800x600.webp","https://media.zameen.com/thumbnails/294104764-800x600.webp","https://media.zameen.com/thumbnails/294104765-800x600.webp","https://media.zameen.com/thumbnails/294104766-800x600.webp","https://media.zameen.com/thumbnails/294104767-800x600.webp","https://media.zameen.com/thumbnails/294104768-800x600.webp","https://media.zameen.com/thumbnails/294104769-800x600.webp","https://media.zameen.com/thumbnails/294104770-800x600.webp","https://media.zameen.com/thumbnails/294104771-800x600.webp","https://media.zameen.com/thumbnails/294104772-800x600.webp","https://media.zameen.com/thumbnails/294104773-800x600.webp","https://media.zameen.com/thumbnails/294104774-800x600.webp","https://media.zameen.com/thumbnails/294104775-800x600.webp","https://media.zameen.com/thumbnails/294104776-800x600.webp","https://media.zameen.com/thumbnails/294104777-800x600.webp","https://media.zameen.com/thumbnails/294104778-800x600.webp","https://media.zameen.com/thumbnails/294104779-800x600.webp","https://media.zameen.com/thumbnails/294104780-800x600.webp","https://media.zameen.com/thumbnails/294104781-800x600.webp","https://media.zameen.com/thumbnails/294104782-800x600.webp","https://media.zameen.com/thumbnails/294104783-800x600.webp","https://media.zameen.com/thumbnails/294104784-800x600.webp","https://media.zameen.com/thumbnails/294104785-800x600.webp","https://media.zameen.com/thumbnails/294104786-800x600.webp","https://media.zameen.com/thumbnails/294104787-800x600.webp","https://media.zameen.com/thumbnails/294104788-800x600.webp","https://media.zameen.com/thumbnails/294104789-800x600.webp","https://media.zameen.com/thumbnails/294104790-800x600.webp","https://media.zameen.com/thumbnails/294104791-800x600.webp","https://media.zameen.com/thumbnails/294104792-800x600.webp","https://media.zameen.com/thumbnails/294104793-800x600.webp","https://media.zameen.com/thumbnails/294104794-800x600.webp","https://media.zameen.com/thumbnails/294104795-800x600.webp","https://media.zameen.com/thumbnails/294104796-800x600.webp","https://media.zameen.com/thumbnails/294104797-800x600.webp",,,,,,,,,"12000000","residential plot","sale","zameen.com","10 Marla ( 36*75 in Block E ) Level + Sun Face + Front Open.","https://www.zameen.com/Property/fazaia_housing_scheme_fazaia_housing_scheme_block_e_10_marla_36_75_in_block_e_level_sun_face_front_open-53802279-14688-2.html"
"10 Marla Residential Plot Available For Sale. In Fazaia Housing Scheme Block F Islamabad. In Block F. Near Main Double Road. Plot Size 36*75. Possession Plot. Ready for Construction. Solid Land. Level Plot. Ideal Location. Electricity , Water and Gas Available. Interested People Can Contact Easily.","2026-03-16T05:29:46.000Z","https://media.zameen.com/thumbnails/138592579-120x90.webp","Fakhar Associates","Possesion: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Other Plot Features: Block F | Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: Yes | Distance From Airport (kms): Yes | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Security Staff: Yes | Other Facilities: Yes","10","marla","0","0","Islamabad","Fakhar Abbas Khan","PKR","53802242","33.60185462","Tarnol, Fazaia Housing Scheme, Fazaia Housing Scheme Block F","72.83771373","+923330337869","https://media.zameen.com/thumbnails/294104496-800x600.webp","https://media.zameen.com/thumbnails/294104497-800x600.webp","https://media.zameen.com/thumbnails/294104498-800x600.webp","https://media.zameen.com/thumbnails/294104499-800x600.webp","https://media.zameen.com/thumbnails/294104500-800x600.webp","https://media.zameen.com/thumbnails/294104501-800x600.webp","https://media.zameen.com/thumbnails/294104502-800x600.webp","https://media.zameen.com/thumbnails/294104503-800x600.webp","https://media.zameen.com/thumbnails/294104504-800x600.webp","https://media.zameen.com/thumbnails/294104505-800x600.webp","https://media.zameen.com/thumbnails/294104506-800x600.webp","https://media.zameen.com/thumbnails/294104507-800x600.webp","https://media.zameen.com/thumbnails/294104508-800x600.webp","https://media.zameen.com/thumbnails/294104509-800x600.webp","https://media.zameen.com/thumbnails/294104510-800x600.webp","https://media.zameen.com/thumbnails/294104511-800x600.webp","https://media.zameen.com/thumbnails/294104512-800x600.webp","https://media.zameen.com/thumbnails/294104513-800x600.webp","https://media.zameen.com/thumbnails/294104514-800x600.webp","https://media.zameen.com/thumbnails/294104515-800x600.webp","https://media.zameen.com/thumbnails/294104516-800x600.webp","https://media.zameen.com/thumbnails/294104517-800x600.webp","https://media.zameen.com/thumbnails/294104518-800x600.webp","https://media.zameen.com/thumbnails/294104519-800x600.webp","https://media.zameen.com/thumbnails/294104520-800x600.webp","https://media.zameen.com/thumbnails/294104521-800x600.webp","https://media.zameen.com/thumbnails/294104522-800x600.webp","https://media.zameen.com/thumbnails/294104523-800x600.webp","https://media.zameen.com/thumbnails/294104524-800x600.webp","https://media.zameen.com/thumbnails/294104525-800x600.webp","https://media.zameen.com/thumbnails/294104526-800x600.webp","https://media.zameen.com/thumbnails/294104527-800x600.webp","https://media.zameen.com/thumbnails/294104528-800x600.webp","https://media.zameen.com/thumbnails/294104529-800x600.webp","https://media.zameen.com/thumbnails/294104530-800x600.webp","https://media.zameen.com/thumbnails/294104531-800x600.webp","https://media.zameen.com/thumbnails/294104532-800x600.webp","https://media.zameen.com/thumbnails/294104533-800x600.webp","https://media.zameen.com/thumbnails/294104534-800x600.webp","https://media.zameen.com/thumbnails/294104535-800x600.webp","https://media.zameen.com/thumbnails/294104536-800x600.webp",,,,,,,,,,"13500000","residential plot","sale","zameen.com","10 Marla ( 36*75 In Block F ) Near Main Double Road.","https://www.zameen.com/Property/fazaia_housing_scheme_fazaia_housing_scheme_block_f_10_marla_36_75_in_block_f_near_main_double_road-53802242-14689-2.html"
"Hurry up you will not get 40x80 plot again in G-14 at this rate. Plot no. 39, Street 88, G-14/2 Several houses built in this stree and surrounding streets First street after main road","2026-03-16T05:27:50.000Z",,"Cloud Tower 1","Possesion: Yes | Park Facing: Yes | Disputed: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Other Plot Features: available  | Nearby Schools: available  | Nearby Hospitals: available  | Nearby Shopping Malls: available  | Nearby Restaurants: available  | Distance From Airport (kms): available  | Nearby Public Transport Service: available  | Other Nearby Places: several houses built in this street | Security Staff: Yes | Other Facilities: level plot","14","marla","0","0","Islamabad","Atif Mustafa Khan","PKR","53895173","33.643527","G-14, G-14/2","72.938311","+923458503728","https://media.zameen.com/thumbnails/294946486-800x600.webp","https://media.zameen.com/thumbnails/294946487-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40500000","residential plot","sale","zameen.com","Last Chance To Buy 40x80 Plot In G-14/2 At Such A Low Rate","https://www.zameen.com/Property/g_14_g-14_2_last_chance_to_buy_40x80_plot_in_g-14_2_at_such_a_low_rate-53895173-3344-2.html"
"8 Marla Residential Plot Available For Sale In Park View City H-Block 8 Marla property is best for long term investment as well as living purposes. The futuristic Residential Plot in Park View City for sale. It is a perfect bargain so buy this property today. According to our analysis, price of PKR Rs. 19000000 is quite a steal for the property in question. In recent years, Park View City has undergone a lot of development, making it a good place to own a Residential Plot. We take it as a pleasure to help you purchase the perfect Residential Plot. Important details of the property are listed below. The location of a corner plot is its best feature. You can take possession of the Residential Plot as soon as both parties are satisfied. Along with other amenities, the Residential Plot comes with a sewerage system ensuring proper and efficient drainage. This property has a functional electricity connection, so you can rest easy! Consistent freshwater supply is maintained in the Residential Plot at all times. Confused about a listing? Call us today to have all concerns answered.","2026-03-16T05:25:34.000Z","https://media.zameen.com/thumbnails/268286955-120x90.webp","Tajir Group","Possesion: Yes | Corner: Yes | Park Facing: Yes | Balloted: Yes | Sewerage: Yes | Electricity: Yes | Water Supply: Yes | Sui Gas: Yes | Boundary Wall: Yes | Other Plot Features: Yes | Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: Yes | Distance From Airport (kms): Yes | Nearby Public Transport Service: Yes | Other Nearby Places: Yes | Security Staff: Yes | Other Facilities: Yes","8","marla","0","0","Islamabad","Salman Khan","PKR","53811772","33.720586","Park View City","73.222006","+923339103396","https://media.zameen.com/thumbnails/294187988-800x600.webp","https://media.zameen.com/thumbnails/294187989-800x600.webp","https://media.zameen.com/thumbnails/294187990-800x600.webp","https://media.zameen.com/thumbnails/294187991-800x600.webp","https://media.zameen.com/thumbnails/294187992-800x600.webp","https://media.zameen.com/thumbnails/294187993-800x600.webp","https://media.zameen.com/thumbnails/294187994-800x600.webp","https://media.zameen.com/thumbnails/294187995-800x600.webp","https://media.zameen.com/thumbnails/294187996-800x600.webp","https://media.zameen.com/thumbnails/294187997-800x600.webp","https://media.zameen.com/thumbnails/294187998-800x600.webp","https://media.zameen.com/thumbnails/294187999-800x600.webp","https://media.zameen.com/thumbnails/294188000-800x600.webp","https://media.zameen.com/thumbnails/294188001-800x600.webp","https://media.zameen.com/thumbnails/294188002-800x600.webp","https://media.zameen.com/thumbnails/294188003-800x600.webp","https://media.zameen.com/thumbnails/294188004-800x600.webp","https://media.zameen.com/thumbnails/294188005-800x600.webp","https://media.zameen.com/thumbnails/294188006-800x600.webp","https://media.zameen.com/thumbnails/294188007-800x600.webp","https://media.zameen.com/thumbnails/294188008-800x600.webp","https://media.zameen.com/thumbnails/294188009-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19000000","residential plot","sale","zameen.com","Residential Plot Available For Sale In Park View City H-Block","https://www.zameen.com/Property/islamabad_park_view_city_residential_plot_available_for_sale_in_park_view_city_h-block-53811772-10933-2.html"
"Faisal hills D Block Size 25""50 Plot no 2004 NDC open Demand 38lac Solid land cutting area A golden chance to invest in Faisal Hills has just come up. Snatch it up before its gone! Don't miss the chance of having your own 1250 Square Feet property. This is one great property option for starting a new chapter in the city of Faisal Hills. Your family will love the property available for sale, so have a look today. If you're looking for a property priced at Rs. 3800000, you're in the right place. The Residential Plot is in demand for all kinds of right reasons, so don't miss this chance. What more this property has to tell you is written below. The filtration plant ensures the availability of clean drinking water supply. A modern sewerage system adds to the quality of this housing project. Safety is a top priority, so security staff will be available on the premise. Basic utilities like water, electricity and gas are in place. This place has a Sui Gas connection, so there's no need to use unsafe cylinders. Possession of the property is fairly simple. A boundary wall around the Residential Plot ensures safety for the residents. Interested? Contact us for pricing info, property details and more.","2026-03-16T05:21:54.000Z","https://media.zameen.com/thumbnails/282870251-120x90.webp","Pacha Gee Marketing Services","Possesion: true | Park Facing: true | Disputed: true | File: true | Balloted: true | Sewerage: true | Electricity: true | Water Supply: true | Sui Gas: true | Boundary Wall: true | Nearby Schools: yes  | Nearby Hospitals: yes  | Nearby Shopping Malls: yes  | Nearby Restaurants: yes  | Distance From Airport (kms): yes  | Nearby Public Transport Service: yes  | Other Nearby Places: yes  | Security Staff: true | Other Facilities: yes","1250","sqft","0","0","Islamabad","Rehman Ullah","PKR","53945049","33.708599","Faisal Hills","72.809475","+923335998883","https://media.zameen.com/thumbnails/295403359-800x600.webp","https://media.zameen.com/thumbnails/295403360-800x600.webp","https://media.zameen.com/thumbnails/295403361-800x600.webp","https://media.zameen.com/thumbnails/295403362-800x600.webp","https://media.zameen.com/thumbnails/295403363-800x600.webp","https://media.zameen.com/thumbnails/295403364-800x600.webp","https://media.zameen.com/thumbnails/295403365-800x600.webp","https://media.zameen.com/thumbnails/295403366-800x600.webp","https://media.zameen.com/thumbnails/295403367-800x600.webp","https://media.zameen.com/thumbnails/295403368-800x600.webp","https://media.zameen.com/thumbnails/295403369-800x600.webp","https://media.zameen.com/thumbnails/295403370-800x600.webp","https://media.zameen.com/thumbnails/295403371-800x600.webp","https://media.zameen.com/thumbnails/295403372-800x600.webp","https://media.zameen.com/thumbnails/295403373-800x600.webp","https://media.zameen.com/thumbnails/295403374-800x600.webp","https://media.zameen.com/thumbnails/295403375-800x600.webp","https://media.zameen.com/thumbnails/295403376-800x600.webp","https://media.zameen.com/thumbnails/295403377-800x600.webp","https://media.zameen.com/thumbnails/295403378-800x600.webp","https://media.zameen.com/thumbnails/295403379-800x600.webp","https://media.zameen.com/thumbnails/295403380-800x600.webp","https://media.zameen.com/thumbnails/295403381-800x600.webp","https://media.zameen.com/thumbnails/295403382-800x600.webp","https://media.zameen.com/thumbnails/295403383-800x600.webp","https://media.zameen.com/thumbnails/295403384-800x600.webp","https://media.zameen.com/thumbnails/295403385-800x600.webp","https://media.zameen.com/thumbnails/295403386-800x600.webp","https://media.zameen.com/thumbnails/295403387-800x600.webp","https://media.zameen.com/thumbnails/295403388-800x600.webp","https://media.zameen.com/thumbnails/295403389-800x600.webp","https://media.zameen.com/thumbnails/295403390-800x600.webp","https://media.zameen.com/thumbnails/295403391-800x600.webp","https://media.zameen.com/thumbnails/295403392-800x600.webp","https://media.zameen.com/thumbnails/295403393-800x600.webp","https://media.zameen.com/thumbnails/295403394-800x600.webp","https://media.zameen.com/thumbnails/295403395-800x600.webp",,,,,,,,,,,,,,"3800000","residential plot","sale","zameen.com","Good 1250 Square Feet Residential Plot For sale In Faisal Hills","https://www.zameen.com/Property/islamabad_faisal_hills_good_1250_square_feet_residential_plot_for_sale_in_faisal_hills-53945049-10859-2.html"
"Shaheen Real Estate Fazaia Housing Scheme Islamabad The Name of Trust Providing Services Since 2005 1 Kanal Residential Plot For Sale in Block F Fazaia Housing Scheme Islamabad On 40 Ft Road Plot Size 60*90 Possession Plot Ready for Construction Solid Land Level Plot Ideal Location Electricity Water and Gas Available Fazaia Housing Scheme Is a Best Society For Residence and For Investment Purpose Because Near to Motorway Interchange Near to Islamabad International AirPort Near to CPEC 24 Hours Security Gated Community 272 Sq Ft Marla in Overall Society In Fazaia Not Other Sectors and Societies Provide 272 Sq Ft Per Marla Instead of Fazaia Golf Course Modern age School and College in Fazaia PAF Hospital PAF School Water Supply All the Time Approved By Pakistan AirForce Interested People Can Contact Easily Feel Free To Contact for Sale / Purchase in Fazaia Housing Scheme Islamabad Size 5 Marla , 10 Marla , 1 Kanal Thank You","2026-03-16T04:48:50.000Z","https://media.zameen.com/thumbnails/138592577-120x90.webp","Shaheen Real Estate","Nearby Schools: Yes | Nearby Hospitals: Yes | Nearby Shopping Malls: Yes | Nearby Restaurants: Yes | Distance From Airport (kms): Yes | Nearby Public Transport Service: Yes | Other Nearby Places: Yes","5400","sqft","0","0","Islamabad","Ahmed Ullah","PKR","53882423","33.601855","Tarnol, Fazaia Housing Scheme, Fazaia Housing Scheme Block F","72.837714","+923008322422","https://media.zameen.com/thumbnails/294839519-800x600.webp","https://media.zameen.com/thumbnails/294839510-800x600.webp","https://media.zameen.com/thumbnails/294839511-800x600.webp","https://media.zameen.com/thumbnails/294839512-800x600.webp","https://media.zameen.com/thumbnails/294839513-800x600.webp","https://media.zameen.com/thumbnails/294839514-800x600.webp","https://media.zameen.com/thumbnails/294839515-800x600.webp","https://media.zameen.com/thumbnails/294839516-800x600.webp","https://media.zameen.com/thumbnails/294839517-800x600.webp","https://media.zameen.com/thumbnails/294839518-800x600.webp","https://media.zameen.com/thumbnails/294839520-800x600.webp","https://media.zameen.com/thumbnails/294839521-800x600.webp","https://media.zameen.com/thumbnails/294839522-800x600.webp","https://media.zameen.com/thumbnails/294839523-800x600.webp","https://media.zameen.com/thumbnails/294839524-800x600.webp","https://media.zameen.com/thumbnails/294839525-800x600.webp","https://media.zameen.com/thumbnails/294839526-800x600.webp","https://media.zameen.com/thumbnails/294839527-800x600.webp","https://media.zameen.com/thumbnails/294839528-800x600.webp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16000000","residential plot","sale","zameen.com","Plot For Sale Size (60*90)1 Kanal","https://www.zameen.com/Property/fazaia_housing_scheme_fazaia_housing_scheme_block_f_plot_for_sale_size_60_90_1_kanal-53882423-14689-2.html"
